Name,Card type,Property,Archseries,Legend,Maximum mode,Attribute,Primary type,Monster type,Effect type,DEF,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
1-Up,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,1-Up,https://yugipedia.com/wiki/1-Up,,2022-09-18 19:47:54,
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Cosmic Urban Legend',)",False,False,,,,"('Effect',)",,,,,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,,2022-11-17 12:07:53,
7 Chance,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,7 Chance,https://yugipedia.com/wiki/7_Chance,,2022-12-10 20:50:09,
Abare Ushioni,Monster Card,,,False,False,EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1200,1200,,4,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),,2022-11-17 12:09:14,"('Any',)"
Abyss Soldier,Monster Card,,,True,False,WATER,Effect Monster,Aqua,"('Effect',)",1300,1800,,4,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),,2022-11-17 12:14:35,"('Any',)"
Acacia the Shadow Flower Priestess,Monster Card,,"('Shadow Flower',)",False,False,EARTH,Effect Monster,Plant,"('Effect',)",1000,1000,,3,Acacia the Shadow Flower Priestess,https://yugipedia.com/wiki/Acacia_the_Shadow_Flower_Priestess,,2022-09-21 05:28:13,
Accel Wonder Flare,Monster Card,,,False,False,FIRE,Effect Monster,Spellcaster,"('Effect',)",1600,1700,,5,Accel Wonder Flare,https://yugipedia.com/wiki/Accel_Wonder_Flare,,2022-08-11 22:59:06,
Accel Wonder Pebble,Monster Card,,,False,False,EARTH,Effect Monster,Spellcaster,"('Effect',)",700,1600,,5,Accel Wonder Pebble,https://yugipedia.com/wiki/Accel_Wonder_Pebble,,2023-01-03 23:07:41,
Accel Wonder Supra,Monster Card,,,False,False,WATER,Effect Monster,Spellcaster,"('Effect',)",1700,1600,,6,Accel Wonder Supra,https://yugipedia.com/wiki/Accel_Wonder_Supra,,2022-04-19 20:53:19,
Acetic Acid Trap Hole,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",False,False,,,,"('Effect',)",,,,,Acetic Acid Trap Hole,https://yugipedia.com/wiki/Acetic_Acid_Trap_Hole,,2022-10-13 15:49:19,
Achacha Catcher,Monster Card,,"('Baseball',)",False,False,FIRE,Normal Monster,Warrior,,400,1400,,4,Achacha Catcher,https://yugipedia.com/wiki/Achacha_Catcher,,2022-12-10 20:56:47,
Against Buster,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Against Buster,https://yugipedia.com/wiki/Against_Buster,,2022-12-10 20:47:36,
"Agaribel, the Finest Sushi Fairy",Monster Card,,"('Sushi Fairy',)",False,False,LIGHT,Effect Monster,Fairy,"('Effect',)",1800,2500,,8,"Agaribel, the Finest Sushi Fairy","https://yugipedia.com/wiki/Agaribel,_the_Finest_Sushi_Fairy",,2022-10-30 07:47:10,
Air Formula Eagle,Monster Card,,,False,False,WIND,Effect Monster,Winged Beast,"('Effect',)",1800,2300,,7,Air Formula Eagle,https://yugipedia.com/wiki/Air_Formula_Eagle,,2022-12-10 20:44:58,
Aitsu,Monster Card,,,False,False,FIRE,Normal Monster,Fairy,,100,100,,5,Aitsu (Rush Duel),https://yugipedia.com/wiki/Aitsu_(Rush_Duel),,2023-01-29 19:42:51,
Alchemicalize Salamandra,Monster Card,,"('Chemistry',)",False,False,FIRE,Fusion Monster,Pyro,"('Effect',)",2000,3000,,9,Alchemicalize Salamandra,https://yugipedia.com/wiki/Alchemicalize_Salamandra,,2023-01-21 14:20:40,
Alco the Flame Emperor of the Lamp,Monster Card,,"('Chemistry',)",False,False,FIRE,Effect Monster,Pyro,"('Effect',)",1200,1700,,6,Alco the Flame Emperor of the Lamp,https://yugipedia.com/wiki/Alco_the_Flame_Emperor_of_the_Lamp,,2023-02-04 14:25:55,
Alien 33,Monster Card,,"('Cosmic Urban Legend',)",False,False,LIGHT,Normal Monster,Reptile,,1100,1100,,3,Alien 33,https://yugipedia.com/wiki/Alien_33,,2022-12-10 16:05:39,
