Name,Archseries,Modification date,Version
Don A. Corn of the Verdant Vast,,2023-05-07 00:04:44,New
EXTRAplorer,,2023-05-07 08:51:40,New
Estrome the Mega Monarch,"('Monarch',)",2023-04-20 16:01:45,Old
Estrome the Mega Monarch,"('Monarch (Rush Duel series)',)",2023-05-05 01:34:35,New
Estrome the Star Monarch,"('Monarch',)",2023-04-20 15:52:50,Old
Estrome the Star Monarch,"('Monarch (Rush Duel series)',)",2023-05-05 01:34:28,New
Galactica Addergatling,"('Galactica',)",2023-05-07 13:13:41,New
Machinations of the Monarchs,"('Monarch (Rush Duel series)',)",2023-05-05 10:48:53,New
Mad Rare Aquila,,2023-05-04 10:50:56,New
Magical Lance - Grace Spear,,2023-05-05 12:58:16,New
Nativity of the Monarchs,"('Monarch (Rush Duel series)',)",2023-05-05 10:50:35,New
Protection of Arthenée,,2023-05-04 11:30:33,New
Space Fusion - EXTRAplasmer,,2023-05-04 11:29:38,New
Wilhel the Mega Monarch,"('Monarch',)",2023-04-20 16:01:26,Old
Wilhel the Mega Monarch,"('Monarch (Rush Duel series)',)",2023-05-05 01:34:55,New
Wilhel the Wisdom Monarch,"('Monarch',)",2023-04-20 15:51:07,Old
Wilhel the Wisdom Monarch,"('Monarch (Rush Duel series)',)",2023-05-05 01:34:49,New
Zaborg the Thunder Monarch,"('Monarch',)",2023-04-20 16:02:26,Old
Zaborg the Thunder Monarch,"('Monarch (Rush Duel series)',)",2023-05-05 01:35:18,New
