Card number,Name,Rarity,Print,Modification date,Release,Series,Set type,Cover card,Version
23PP-KRA01,Arms Regeneration,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA02,Praying Mantis,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA03,Guard Mantis,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA04,Golden Rule,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA05,Duality,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA06,Shadow's Light,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA07,Protection of the Elements,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA08,Blackwing - Sharnga the Waning Moon,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA09,Rose Shaman,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
23PP-KRA10,Final Cross,"('Common', 'Normal Parallel Rare', 'Super Rare', 'Secret Rare')",New,2023-05-09 18:43:49,2023-04-28,Premium Pack,Booster pack,"('Astral Kuriboh', 'Blackwing - Sharnga the Waning Moon', 'Chronicle Magician', 'Outburst Dragon', 'Photon Jumper', 'Protection of the Elements', 'Rookie Warrior Lady', 'Sky Striker Ace - Raye')",New
