Card number,Name,Rarity,Print,Modification date,Version
CL03-SC177,,,,2022-11-07 13:43:33,Old
CL03-SC177,Aleister the Invoker,"('Prismatic Secret Rare',)",New,2022-11-07 13:43:33,New
CL03-SC183,,,,2022-11-07 13:43:33,Old
CL03-SC183,Invoked Mechaba,"('Prismatic Secret Rare',)",New,2022-11-07 13:43:33,New
CL03-SC184,,,,2022-11-07 13:43:33,Old
CL03-SC184,Invoked Elysium,"('Secret Rare',)",New,2022-11-07 13:43:33,New
CL03-SC185,,,,2022-11-07 13:43:33,Old
CL03-SC185,Invoked Augoeides,"('Super Rare',)",New,2022-11-07 13:43:33,New
CL03-SC188,,,,2022-11-07 13:43:33,Old
CL03-SC188,Invocation,"('Super Rare',)",New,2022-11-07 13:43:33,New
DBSS-SC041,"Tytannial, Princess of Camellias","('Common', 'Normal Parallel Rare')",New,2023-01-14 01:51:43,Old
DBSS-SC041,Tytannial,"('Common', 'Normal Parallel Rare')",New,2023-01-14 01:51:43,New
DBWS-JP001,Xeno Meteoros,,New,2023-02-09 08:14:53,New
DBWS-JP002,Transcendrake Meteoros,"('Ultra Rare',)",New,2023-02-09 08:14:53,New
DBWS-JP003,Transcendrake Gigantozowler,,New,2023-02-09 08:14:53,New
DBWS-JP004,Transcendrake Glacesaurus,,New,2023-02-09 08:14:53,New
DBWS-JP005,Transcendrake Drillgnathus,,New,2023-02-09 08:14:53,New
DBWS-JP006,Ground Xeno,,New,2023-02-09 08:14:53,New
DBWS-JP007,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP008,Frostosaurus,,Reprint,2023-02-09 08:14:53,New
DBWS-JP009,,,Reprint,2023-02-09 08:14:53,New
DBWS-JP010,,,Reprint,2023-02-09 08:14:53,New
DBWS-JP011,Miscellaneousaurus,,Reprint,2023-02-09 08:14:53,New
DBWS-JP012,Souleating Oviraptor,,Reprint,2023-02-09 08:14:53,New
DBWS-JP013,Babycerasaurus,,Reprint,2023-02-09 08:14:53,New
DBWS-JP014,Petiteranodon,,Reprint,2023-02-09 08:14:53,New
DBWS-JP015,Evolzar Solda,,Reprint,2023-02-09 08:14:53,New
DBWS-JP016,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP017,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP018,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP019,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP020,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP021,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP022,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP023,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP024,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP025,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP026,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP027,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP028,,,Unknown,2023-02-09 08:14:53,New
DBWS-JP029,Buerillabaisse de Nouvellez,,New,2023-02-09 08:14:53,New
DBWS-JP030,Confitras de Nouvellez,,New,2023-02-09 08:14:53,New
DBWS-JP031,Poêlétis de Nouvellez,,New,2023-02-09 08:14:53,New
DBWS-JP032,Foie Glasya de Nouvellez,,New,2023-02-09 08:14:53,New
DBWS-JP033,Balameuniere de Nouvellez,,New,2023-02-09 08:14:53,New
DBWS-JP034,Baegriller de Nouvellez,"('Ultra Rare',)",New,2023-02-09 08:14:53,New
DBWS-JP035,"Nouvellez Auberge ""À Table""",,New,2023-02-09 08:14:53,New
DBWS-JP036,,,New,2023-02-09 08:14:53,New
DBWS-JP037,Recette de Poisson - Fish Recipe,,New,2023-02-09 08:14:53,New
DBWS-JP038,Recette de Viande - Meat Recipe,,New,2023-02-09 08:14:53,New
DBWS-JP039,Recette de Personnel - Cook's Recipe,,New,2023-02-09 08:14:53,New
DBWS-JP040,Recette de Spécialité - Chef's Specialty Recipe,,New,2023-02-09 08:14:53,New
DBWS-JP041,Hungry Burger,,Reprint,2023-02-09 08:14:53,New
DBWS-JP042,Hamburger Recipe,,Reprint,2023-02-09 08:14:53,New
DBWS-JP043,,,Reprint,2023-02-09 08:14:53,New
DBWS-JP044,,,Reprint,2023-02-09 08:14:53,New
DBWS-JP045,,,Reprint,2023-02-09 08:14:53,New
SD18-JP001,Machina Fortress,"('Ultra Rare',)",,2021-03-28 01:34:33,Old
SD18-JP001,Machina Fortress,"('Ultra Rare',)",New,2021-03-28 01:34:33,New
SD18-JP002,Machina Gearframe,"('Super Rare',)",,2021-03-28 01:34:33,Old
SD18-JP002,Machina Gearframe,"('Super Rare',)",New,2021-03-28 01:34:33,New
SD18-JP003,Machina Peacekeeper,"('Super Rare',)",,2021-03-28 01:34:33,Old
SD18-JP003,Machina Peacekeeper,"('Super Rare',)",New,2021-03-28 01:34:33,New
SD18-JP004,Scrap Recycler,"('Common',)",,2021-03-28 01:34:33,Old
