Name,Card type,Property,Archseries,Legend,Maximum mode,Attribute,Primary type,Monster type,Effect type,DEF,ATK,MAXIMUM ATK,Level/Rank,Page name,Page URL,Artwork,Modification date,Errata
1-Up,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,1-Up,https://yugipedia.com/wiki/1-Up,,2023-03-17 23:21:36,
300 Light-Year Red Cloak,Spell Card,Normal Spell Card,"('Cosmic Urban Legend',)",False,False,,,,"('Effect',)",,,,,300 Light-Year Red Cloak,https://yugipedia.com/wiki/300_Light-Year_Red_Cloak,,2023-03-17 23:23:44,
7 Chance,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,7 Chance,https://yugipedia.com/wiki/7_Chance,,2023-03-17 23:23:44,
Abare Ushioni,Monster Card,,,False,False,EARTH,Effect Monster,Beast-Warrior,"('Effect',)",1200,1200,,4,Abare Ushioni (Rush Duel),https://yugipedia.com/wiki/Abare_Ushioni_(Rush_Duel),,2023-03-17 23:32:16,"('Any',)"
Abyss Flash,Spell Card,Normal Spell Card,,False,False,,,,"('Effect',)",,,,,Abyss Flash,https://yugipedia.com/wiki/Abyss_Flash,,2023-04-08 01:25:20,
Abyss Gash,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Abyss Gash,https://yugipedia.com/wiki/Abyss_Gash,,2023-04-12 14:26:08,
Abyss Soldier,Monster Card,,,True,False,WATER,Effect Monster,Aqua,"('Effect',)",1300,1800,,4,Abyss Soldier (Rush Duel),https://yugipedia.com/wiki/Abyss_Soldier_(Rush_Duel),,2023-03-17 23:42:56,"('Any',)"
Abyssal Dragon Lord Abyss Poseidra,Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Continuous Effect',)",0,2500,4000,10,Abyssal Dragon Lord Abyss Poseidra,https://yugipedia.com/wiki/Abyssal_Dragon_Lord_Abyss_Poseidra,,2023-04-08 00:38:24,
Abyssal Dragon Lord Abyss Poseidra [L],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,2300,,10,Abyssal Dragon Lord Abyss Poseidra (L),https://yugipedia.com/wiki/Abyssal_Dragon_Lord_Abyss_Poseidra_(L),,2023-04-08 00:38:24,
Abyssal Dragon Lord Abyss Poseidra [R],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Continuous Effect',)",0,2400,,10,Abyssal Dragon Lord Abyss Poseidra (R),https://yugipedia.com/wiki/Abyssal_Dragon_Lord_Abyss_Poseidra_(R),,2023-04-08 00:38:24,
Abyssal Sea Dragon Abyss Kraken,Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Continuous Effect',)",0,2500,4000,10,Abyssal Sea Dragon Abyss Kraken,https://yugipedia.com/wiki/Abyssal_Sea_Dragon_Abyss_Kraken,,2023-04-12 17:14:40,
Abyssal Sea Dragon Abyss Kraken [L],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,2300,,10,Abyssal Sea Dragon Abyss Kraken (L),https://yugipedia.com/wiki/Abyssal_Sea_Dragon_Abyss_Kraken_(L),,2023-04-08 00:38:24,
Abyssal Sea Dragon Abyss Kraken [R],Monster Card,,,False,True,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,2300,,10,Abyssal Sea Dragon Abyss Kraken (R),https://yugipedia.com/wiki/Abyssal_Sea_Dragon_Abyss_Kraken_(R),,2023-04-08 00:38:24,
Abysskite Prevent Wall,Trap Card,Normal Trap Card,,False,True,,,,"('Effect',)",,,,,Abysskite Prevent Wall,https://yugipedia.com/wiki/Abysskite_Prevent_Wall,,2023-04-12 15:21:36,
Abysskite Protection,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Abysskite Protection,https://yugipedia.com/wiki/Abysskite_Protection,,2023-04-12 15:23:44,
Abysskite Ultimail,Trap Card,Normal Trap Card,,False,False,,,,"('Effect',)",,,,,Abysskite Ultimail,https://yugipedia.com/wiki/Abysskite_Ultimail,,2023-05-17 16:00:00,
Abysslayer Apsaras,Monster Card,,,False,False,DARK,Effect Monster,Sea Serpent,"('Effect',)",1500,2500,,7,Abysslayer Apsaras,https://yugipedia.com/wiki/Abysslayer_Apsaras,,2023-04-12 15:55:44,
Abysslayer Cetus,Monster Card,,,False,False,DARK,Effect Monster,Sea Serpent,"('Effect',)",0,1100,,3,Abysslayer Cetus,https://yugipedia.com/wiki/Abysslayer_Cetus,,2023-04-12 16:00:00,
Abysslayer Makara,Monster Card,,,False,False,DARK,Effect Monster,Sea Serpent,"('Effect',)",1000,1500,,5,Abysslayer Makara,https://yugipedia.com/wiki/Abysslayer_Makara,,2023-04-12 14:28:16,
Abysslayer Vodyanoy,Monster Card,,,False,False,DARK,Effect Monster,Sea Serpent,"('Effect',)",400,1000,,3,Abysslayer Vodyanoy,https://yugipedia.com/wiki/Abysslayer_Vodyanoy,,2023-04-11 23:28:00,
Acacia the Shadow Flower Priestess,Monster Card,,"('Shadow Flower',)",False,False,EARTH,Effect Monster,Plant,"('Effect',)",1000,1000,,3,Acacia the Shadow Flower Priestess,https://yugipedia.com/wiki/Acacia_the_Shadow_Flower_Priestess,,2023-03-17 23:45:04,
Accel Wonder Flare,Monster Card,,,False,False,FIRE,Effect Monster,Spellcaster,"('Effect',)",1600,1700,,5,Accel Wonder Flare,https://yugipedia.com/wiki/Accel_Wonder_Flare,,2023-03-17 23:47:12,
Accel Wonder Pebble,Monster Card,,,False,False,EARTH,Effect Monster,Spellcaster,"('Effect',)",700,1600,,5,Accel Wonder Pebble,https://yugipedia.com/wiki/Accel_Wonder_Pebble,,2023-03-17 23:47:12,
Accel Wonder Supra,Monster Card,,,False,False,WATER,Effect Monster,Spellcaster,"('Effect',)",1700,1600,,6,Accel Wonder Supra,https://yugipedia.com/wiki/Accel_Wonder_Supra,,2023-03-17 23:47:12,
Acetic Acid Trap Hole,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",False,False,,,,"('Effect',)",,,,,Acetic Acid Trap Hole,https://yugipedia.com/wiki/Acetic_Acid_Trap_Hole,,2023-03-17 23:47:12,
Achacha Catcher,Monster Card,,"('Baseball',)",False,False,FIRE,Normal Monster,Warrior,,400,1400,,4,Achacha Catcher,https://yugipedia.com/wiki/Achacha_Catcher,,2023-03-17 23:47:12,
