Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Baelgrill de Nouvelles,88890658,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Baelgrill de Nouvelles,88890658,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Balameuniere de Nouvelles,52495649,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Balameuniere de Nouvelles,52495649,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Bitelon,44702857,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,,Old
Bitelon,44702857,"('Continuous Effect',)",Unlimited,Unlimited,2023-04-06 19:41:52,"('Any',)",New
Buerillabaisse de Nouvelles,26223582,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:07:28,,Old
Buerillabaisse de Nouvelles,26223582,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:44,,New
Chef's Special Recipe,87955518,"('Condition', 'Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-05-24 20:11:44,,Old
Chef's Special Recipe,87955518,"('Condition', 'Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:09:36,,New
Cloudian - Acid Cloud,17810268,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
Cloudian - Acid Cloud,17810268,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:28,"('Any',)",New
Cloudian - Altus,79703905,"('Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-04-07 20:07:28,,Old
