Card number,Name,Rarity,Print,Modification date,Version
????-EN???,Pot of Greed,"('Quarter Century Secret Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Generosity,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Avarice,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Benevolence,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Riches,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Acquisitiveness,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Duality,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Dichotomy,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Desires,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Extravagance,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Pot of Prosperity,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Spirit of the Pot of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Moray of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
????-EN???,Shard of Greed,"('Ultra Parallel Rare',)",,2023-02-08 14:24:35,Old
CL03-SC001,Black Luster Soldier - Envoy of the Beginning,"('Prismatic Secret Rare',)",Reprint,2023-02-24 04:14:32,Old
CL03-SC001,Black Luster Soldier - Envoy of the Beginning,"('Super Rare', 'Prismatic Secret Rare')",Reprint,2023-02-25 19:02:23,New
CL03-SC004,,,,2023-02-24 04:14:32,Old
CL03-SC004,Super Soldier Soul,"('Common',)",New,2023-02-25 19:02:23,New
CL03-SC005,,,,2023-02-24 04:14:32,Old
CL03-SC005,Beginning Knight,"('Common',)",New,2023-02-25 19:02:23,New
CL03-SC006,,,,2023-02-24 04:14:32,Old
CL03-SC006,Evening Twilight Knight,"('Common',)",New,2023-02-25 19:02:23,New
CL03-SC007,,,,2023-02-24 04:14:32,Old
CL03-SC007,Arisen Gaia the Fierce Knight,"('Rare',)",New,2023-02-25 19:02:23,New
CL03-SC008,,,,2023-02-24 04:14:32,Old
CL03-SC008,Envoy of Chaos,"('Rare',)",New,2023-02-25 19:02:23,New
CL03-SC009,Black Luster Soldier,"('Secret Rare',)",New,2023-02-24 04:14:32,Old
CL03-SC009,Black Luster Soldier,"('Ultra Rare', 'Secret Rare')",New,2023-02-25 19:02:23,New
CL03-SC011,Black Luster Soldier - Legendary Swordsman,"('Secret Rare',)",New,2023-02-24 04:14:32,Old
CL03-SC011,Black Luster Soldier - Legendary Swordsman,"('Ultra Rare', 'Secret Rare')",New,2023-02-25 19:02:23,New
CL03-SC012,Dragon Master Knight,"('Secret Rare',)",New,2023-02-24 04:14:32,Old
CL03-SC012,Dragon Master Knight,"('Ultra Rare', 'Secret Rare')",New,2023-02-25 19:02:23,New
CL03-SC013,Black Luster Soldier - Soldier of Chaos,"('Prismatic Secret Rare',)",New,2023-02-24 04:14:32,Old
CL03-SC013,Black Luster Soldier - Soldier of Chaos,"('Ultra Rare', 'Secret Rare', 'Prismatic Secret Rare')",New,2023-02-25 19:02:23,New
