Name,Archseries,Artwork,Modification date,Version
Axetion Melody the Music Princess,"('Music Princess',)",,2023-06-02 20:01:04,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix,"('Chemistry',)",,2023-06-03 11:05:36,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [L],"('Chemistry',)",,2023-06-03 11:07:44,New
Blazebolt Chemistorm Fenghuang Volcalize Phoenix [R],"('Chemistry',)",,2023-06-03 11:09:52,New
Chemispet Nyanko,"('Chemistry',)",,2023-06-03 10:33:36,New
Chemispet Wanko,"('Chemistry',)",,2023-06-03 10:35:44,New
Curse of Dragon,,,2023-05-11 06:21:52,Old
Curse of Dragon,"('Gaia (series)',)",,2023-06-03 11:20:32,New
Defrostrooper,,,2023-06-01 23:38:40,New
Elegant Egotist,"('Harpie (Rush Duel series)',)",,2023-06-01 16:10:40,New
Gaia The Fierce Knight,,,2023-03-18 19:37:36,Old
Gaia The Fierce Knight,"('Gaia (series)',)",,2023-06-03 11:20:32,New
Gaia the Battle Ruler,"('Gaia (series)',)",,2023-06-03 10:48:32,New
Gaia the Dragon Champion,,,2023-05-11 06:21:52,Old
Gaia the Dragon Champion,"('Gaia (series)',)",,2023-06-03 11:20:32,New
Harpie Lady 1,"('Harpie (Rush Duel series)',)",,2023-06-01 16:10:40,New
Harpie's Pet Dragon,"('Harpie (Rush Duel series)',)",,2023-06-01 16:10:40,New
Hyper Assistant Achi,"('Chemistry',)",,2023-06-03 10:31:28,New
Rising Light Angel Esser,,,2023-06-03 10:54:56,New
Sansetsukontra the Music Fiend,"('Music Princess',)",,2023-06-04 19:18:24,New
Steel Soldier Gale Vinary,,,2023-06-03 10:50:40,New
Supreme Beast Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-08 00:25:36,Old
Supreme Beast Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-08 00:25:36,Old
Supreme Beast Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-08 00:27:44,Old
Supreme Beast Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:34:40,New
Supreme Fullsteam Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-12 14:13:20,Old
Supreme Fullsteam Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Fullsteam Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-12 14:06:56,Old
Supreme Fullsteam Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Fullsteam Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-12 14:09:04,Old
Supreme Fullsteam Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Machine Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-08 00:29:52,Old
Supreme Machine Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:34:40,New
Supreme Machine Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-08 00:29:52,Old
Supreme Machine Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:32:32,New
Supreme Machine Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-08 00:29:52,Old
Supreme Machine Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Skystream Magnum Overlord,"('Supreme Magnum Overlord',)",,2023-04-08 00:27:44,Old
Supreme Skystream Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Skystream Magnum Overlord [L],"('Supreme Magnum Overlord',)",,2023-04-08 00:27:44,Old
Supreme Skystream Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Skystream Magnum Overlord [R],"('Supreme Magnum Overlord',)",,2023-04-08 00:27:44,Old
Supreme Skystream Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:36:48,New
Supreme Wildgleam Magnum Overlord,"('Magnum Overlord',)",,2023-06-02 06:45:20,New
Supreme Wildgleam Magnum Overlord [L],"('Magnum Overlord',)",,2023-06-02 06:45:20,New
Supreme Wildgleam Magnum Overlord [R],"('Magnum Overlord',)",,2023-06-02 06:47:28,New
Tamabot,,,2023-04-01 13:22:08,Old
Tamabot,,"('Alternate',)",2023-05-29 10:44:16,New
Veteran Curse of Dragon,"('Gaia (series)',)",,2023-06-03 10:42:08,New
Veteran Gaia the Fierce Knight,"('Gaia (series)',)",,2023-06-03 10:44:16,New
