Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Absolute Powerforce,,"('Effect',)",,Not yet released,2023-06-16 23:56:57,,Old
Absolute Powerforce,51779204,"('Effect',)",,Unlimited,2023-06-24 01:06:04,,New
Additional Mirror Level 7,23812568,"('Effect',)",Not yet released,Unlimited,2023-06-18 01:27:21,,Old
Additional Mirror Level 7,23812568,"('Effect',)",Unlimited,Unlimited,2023-06-23 15:53:30,,New
Armaill,53153481,,Unlimited,Unlimited,2023-05-14 13:16:36,"('Any',)",Old
Armaill,53153481,,Unlimited,Unlimited,2023-05-14 13:16:36,"('Type',)",New
Armed Neos,31817415,"('Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-08 05:24:15,,Old
Armed Neos,31817415,"('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:58:53,,New
Arms Regeneration,32549749,"('Condition', 'Effect')",Not yet released,Unlimited,2023-06-13 17:13:51,,Old
Arms Regeneration,32549749,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-23 15:55:09,,New
Assault Synchron,77202120,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:27:07,,Old
Assault Synchron,77202120,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:58:20,,New
Baby Spider,60023855,"('Condition', 'Ignition Effect')",Not yet released,Unlimited,2023-06-13 17:12:41,,Old
Baby Spider,60023855,"('Condition', 'Ignition Effect')",Unlimited,Unlimited,2023-06-23 15:53:48,,New
Battlefield Tragedy,42228966,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 16:06:24,,Old
Battlefield Tragedy,42228966,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:56:52,,New
Black Mamba,86469231,"('Condition', 'Trigger Effect', 'Unclassified effect')",Not yet released,Unlimited,2023-06-12 15:52:20,,Old
Black Mamba,86469231,"('Condition', 'Trigger Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-06-23 15:56:48,,New
Blackwing - Sharnga the Waning Moon,54594017,"('Condition', 'Quick Effect', 'Unclassified effect')",Not yet released,Unlimited,2023-06-13 17:13:11,,Old
Blackwing - Sharnga the Waning Moon,54594017,"('Condition', 'Quick Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-06-23 15:54:33,,New
Bone Archfiend,,"('Condition', 'Ignition Effect')",,Not yet released,2023-04-23 11:35:44,,Old
Bone Archfiend,25784595,"('Condition', 'Ignition Effect')",,Unlimited,2023-06-24 00:33:45,,New
Boton the Music Princess,,,,Unlimited,2023-06-24 12:31:42,,New
Burning Soul,10723472,"('Activation condition', 'Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,2023-06-09 17:48:41,,Old
Burning Soul,10723472,"('Condition', 'Effect', 'Lingering effect')",Unlimited,Unlimited,2023-06-24 10:46:52,,New
Cattycorn,61245403,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:12:55,,Old
Cattycorn,61245403,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:54:07,,New
Courageous Crimson Chevalier Bradamante,91479482,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:19:03,,Old
Courageous Crimson Chevalier Bradamante,91479482,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:11,,New
Crimson Gaia,98173209,"('Condition', 'Ignition-like Effect', 'Trigger Effect')",,Unlimited,2023-06-24 01:07:14,,New
D/D/D/D Super-Dimensional Sovereign Emperor Zero Paradox,97417863,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-13 17:14:14,,Old
D/D/D/D Super-Dimensional Sovereign Emperor Zero Paradox,97417863,"('Condition', 'Ignition-like Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:53:38,,New
Daidaratant the Ooze Giant,39943352,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:34:37,,Old
Daidaratant the Ooze Giant,39943352,"('Condition', 'Ignition Effect', 'Ignition-like Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:46,,New
Dark Magician the Knight of Dragon Magic,05829717,"('Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:24:07,,Old
Dark Magician the Knight of Dragon Magic,05829717,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:59:00,,New
Demolition Soldier High Kanko,,,,Unlimited,2023-06-24 12:54:18,,New
"Don't Slip, the Dogs of War",65938950,"('Trigger Effect',)",Not yet released,Unlimited,2023-06-12 16:36:45,,Old
"Don't Slip, the Dogs of War",65938950,"('Trigger Effect',)",Unlimited,Unlimited,2023-06-23 15:57:40,,New
Draco Berserker of the Tenyi,05041348,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-13 21:42:52,,Old
Draco Berserker of the Tenyi,05041348,"('Condition', 'Quick Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-22 12:19:37,"('Any',)",New
Duality,39973386,"('Condition', 'Effect', 'Ignition-like Effect')",Not yet released,Unlimited,2023-06-13 17:13:31,,Old
Duality,39973386,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,2023-06-23 15:54:50,,New
Elemental HERO Flame Wingman - Infernal Rage,93347961,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 16:04:22,,Old
Elemental HERO Flame Wingman - Infernal Rage,93347961,"('Condition', 'Ignition Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:20,,New
Enchanting Mermaid,75376965,,Unlimited,Unlimited,2023-05-14 13:15:14,"('Name',)",Old
Enchanting Mermaid,75376965,,Unlimited,Unlimited,2023-06-19 19:02:53,"('Name', 'Type')",New
Extox Hydra,26050548,"('Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:37:48,,Old
Extox Hydra,26050548,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:56,,New
Fiendish Golem,,"('Effect',)",,Not yet released,2023-06-18 14:20:21,,Old
Fiendish Golem,24662957,"('Effect',)",,Unlimited,2023-06-24 01:15:16,,New
Final Cross,35756798,"('Condition', 'Effect')",Not yet released,Unlimited,2023-06-13 17:13:01,,Old
Final Cross,35756798,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-23 15:54:12,,New
Fireyarou,71407486,,Unlimited,Unlimited,2023-05-14 13:13:33,,Old
Fireyarou,71407486,,Unlimited,Unlimited,2023-05-14 13:13:33,"('Type',)",New
Frenzied Panda,98818516,,Unlimited,Unlimited,2023-05-14 13:15:58,,Old
Frenzied Panda,98818516,,Unlimited,Unlimited,2023-05-14 13:15:58,"('Type',)",New
Ghost Fusion,35705817,"('Condition', 'Effect')",Not yet released,Unlimited,2023-06-12 15:59:19,,Old
Ghost Fusion,35705817,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-23 15:55:47,,New
"Ghost Lancer, the Underworld Spearman",64104037,"('Continuous Effect', 'Unclassified effect')",Not yet released,Unlimited,2023-06-12 15:43:57,,Old
"Ghost Lancer, the Underworld Spearman",64104037,"('Continuous Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-06-23 15:56:10,,New
"Ghost Sleeper, the Underworld Princess",99370594,"('Condition', 'Ignition Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:52:58,,Old
"Ghost Sleeper, the Underworld Princess",99370594,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:56:05,,New
"Ghost Wyvern, the Underworld Dragon",61103515,"('Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:49:04,,Old
"Ghost Wyvern, the Underworld Dragon",61103515,"('Continuous Effect', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:56:00,,New
Golden Rule,03574681,"('Condition', 'Continuous-like Effect', 'Effect')",Not yet released,Unlimited,2023-06-13 17:13:36,,Old
Golden Rule,03574681,"('Condition', 'Continuous-like Effect', 'Effect')",Unlimited,Unlimited,2023-06-23 15:54:55,,New
Guard Mantis,53754104,"('Condition', 'Ignition Effect', 'Quick Effect')",Not yet released,Unlimited,2023-06-13 17:13:41,,Old
Guard Mantis,53754104,"('Condition', 'Ignition Effect', 'Quick Effect')",Unlimited,Unlimited,2023-06-23 15:54:59,,New
Hard Armor,20060230,,Unlimited,Unlimited,2023-05-14 13:17:57,"('Any',)",Old
Hard Armor,20060230,,Unlimited,Unlimited,2023-05-14 13:17:57,"('Type',)",New
Herald of Pure Light,01249315,"('Condition', 'Ignition Effect')",Unlimited,Unlimited,2023-06-13 22:12:15,,Old
Herald of Pure Light,01249315,"('Condition', 'Ignition Effect')",Unlimited,Unlimited,2023-06-22 12:19:35,"('Any',)",New
Lamia,84900597,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:54:35,,Old
Lamia,84900597,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:56:19,,New
Larvas,94675535,,Unlimited,Unlimited,2023-05-14 13:18:33,"('Any',)",Old
Larvas,94675535,,Unlimited,Unlimited,2023-05-14 13:18:33,"('Type',)",New
Link Decoder,30342076,"('Condition', 'Trigger Effect')",Not yet released,Unlimited,2023-06-12 15:39:56,,Old
Link Decoder,30342076,"('Condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-23 15:57:15,,New
Man Eater,93553943,,Unlimited,Unlimited,2023-05-14 13:17:45,"('Any',)",Old
Man Eater,93553943,,Unlimited,Unlimited,2023-05-14 13:17:45,"('Type',)",New
Meda Bat,76211194,,Unlimited,Unlimited,2023-05-14 13:15:36,,Old
Meda Bat,76211194,,Unlimited,Unlimited,2023-05-14 13:15:36,"('Type',)",New
Mother Spider Splitter,34034150,"('Condition', 'Ignition Effect', 'Unclassified effect')",Not yet released,Unlimited,2023-06-13 17:12:46,,Old
Mother Spider Splitter,34034150,"('Condition', 'Ignition Effect', 'Unclassified effect')",Unlimited,Unlimited,2023-06-23 15:53:54,,New
Nightmare Magician,40221691,"('Continuous Effect', 'Trigger Effect')",,Unlimited,2023-05-01 18:08:00,,Old
Nightmare Magician,40221691,"('Continuous Effect', 'Trigger Effect')",Not yet released,Unlimited,2023-06-24 07:17:53,,New
Numbers Last Hope,04606229,"('Condition', 'Effect')",Not yet released,Unlimited,2023-06-12 15:26:09,,Old
Numbers Last Hope,04606229,"('Condition', 'Effect')",Unlimited,Unlimited,2023-06-23 15:58:13,,New
