Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Series,Set type,Cover card,Version
19PP-JP001,Premium Pack 2019,Mighty Flame Swordsman,"('Ultra Rare', 'Secret Rare', '20th Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2019_(OCG-JP),2023-04-24 20:05:13,2019-03-09,,Premium Pack,,Old
19PP-JP001,Premium Pack 2019,Ferocious Flame Swordsman,"('Ultra Rare', 'Secret Rare', '20th Secret Rare')",,https://yugipedia.com/wiki/Set_Card_Lists:Premium_Pack_2019_(OCG-JP),2023-07-15 09:42:57,2019-03-09,,Premium Pack,,New
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA101,Hidden Chapter Pack 2023 Vol.2,Thunder King Rai-Oh,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA102,Hidden Chapter Pack 2023 Vol.2,Ido the Supreme Magical Force,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA103,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA104,Hidden Chapter Pack 2023 Vol.2,Hot Red Dragon Archfiend,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA105,Hidden Chapter Pack 2023 Vol.2,,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
23HP-JA106,Hidden Chapter Pack 2023 Vol.2,Number 58: Burner Visor,"('Super Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Hidden_Chapter_Pack_2023_Vol.2_(OCG-JA),2023-07-14 07:25:01,2023-07-22,,Booster pack,,New
AGOV-JP000,Age of Overlord,,,,https://yugipedia.com/wiki/Set_Card_Lists:Age_of_Overlord_(OCG-JP),2023-07-09 12:04:25,2023-07-22,Core Booster,Booster pack,"('Supreme Celestial King Odd-Eyes Arc-Ray Dragon',)",Old
