Name,Archseries,Artwork,Modification date,Version
Anglercoilfish,,,2023-05-23 18:18:40,New
Boton the Music Princess,"('Music Princess',)",,2023-05-24 21:30:40,New
Card Reprint,,,2023-03-18 07:25:52,Old
Card Reprinting,,,2023-05-24 20:35:12,New
Contacton the Music Princess,"('Music Princess',)",,2023-05-17 06:30:24,Old
Enraged Scale Liberation,"('Chameleon',)",,2023-03-18 16:21:20,Old
Fancy Ladybug Pastel,,,2023-03-18 17:40:16,Old
Fantasy Ladybug Pastel,,,2023-05-24 09:04:00,New
Fiery Infernleon,"('Chameleon',)",,2023-05-25 23:04:32,New
Harpie Girl,,,2023-03-18 23:10:56,Old
Harpie Girl,"('Harpie (Rush Duel series)',)",,2023-05-27 02:18:40,New
Hot Flameleon,"('Chameleon',)",,2023-03-19 07:47:12,Old
Infinidream Constructor Wyrm Buildrim,"('Constructor',)",,2023-03-19 08:59:44,Old
Infinite Constructor Wyrm Buildream,"('Constructor',)",,2023-05-24 15:36:32,New
Kamaleon,"('Chameleon',)",,2023-05-25 23:04:32,New
Lanterncoilfish,,,2023-03-19 12:09:36,Old
Mr. Alche,,,2023-03-19 17:46:40,Old
Mr. Alchemy,,,2023-05-24 21:37:04,New
Music Princess's Requiem,"('Music Princess',)",,2023-05-24 21:11:28,New
Music Princess's Requiem Sonata,"('Music Princess',)",,2023-05-17 12:45:52,Old
Poet Fairy,,,2023-05-25 06:21:52,New
Prima Guitarna the Shining Superstar,"('Psychic Musician',)",,2023-03-19 23:32:16,Old
Prima Guitarna the Shining Superstar,"('Psychic Musician',)","('Alternate', 'Edited')",2023-05-24 22:15:28,New
Release Wrath,"('Chameleon',)",,2023-05-25 06:00:32,New
Sickleon,"('Chameleon',)",,2023-03-20 08:14:56,Old
Supreme HQ Magnum Overbase,,,2023-04-08 00:57:36,Old
Supreme Marine Fortress Magnum Overbase,,,2023-05-23 18:40:00,New
Trumpetiger the Music Fiend,"('Music Princess',)",,2023-05-28 12:24:32,New
Universal Destruction,,,2023-05-24 11:37:36,New
Wording Fairy,,,2023-03-20 20:07:28,Old
