Name,TCG status,Modification date,Version
Cosmic Quasar Dragon,,2023-06-27 19:40:53,Old
Cosmic Quasar Dragon,Not yet released,2023-07-12 15:07:04,New
Duelist Genesis,,2023-04-22 12:32:46,Old
Duelist Genesis,Not yet released,2023-07-12 15:12:06,New
Scrap-Iron Idol,,2023-06-18 14:15:28,Old
Scrap-Iron Sacred Statue,Not yet released,2023-07-12 18:01:08,New
Stardust Wurm,,2023-06-13 17:21:37,Old
Stardust Wurm,Not yet released,2023-07-12 15:13:16,New
Synchro Over Top,,2023-06-18 14:15:36,Old
Synchro Overtop,Not yet released,2023-07-12 15:18:52,New
Synchro World,,2023-06-18 14:15:45,Old
Synchro World,Not yet released,2023-07-12 15:11:16,New
