Name,Password,Archseries,Effect type,TCG status,OCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,DEF,ATK,Version
7 Colored Fish,23771716,,,Unlimited,Unlimited,7 Colored Fish,https://yugipedia.com/wiki/7_Colored_Fish,,2023-08-14 21:44:53,,Normal Monster,800,1800,Old
7 Colored Fish,23771716,,,Unlimited,Unlimited,7 Colored Fish,https://yugipedia.com/wiki/7_Colored_Fish,,2023-08-24 19:15:07,"('Type',)",Normal Monster,800,1800,New
Amaterasu,20073910,,"('Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,Amaterasu,https://yugipedia.com/wiki/Amaterasu,,2023-03-18 00:43:14,,Effect Monster,3000,3000,New
Ancient Chant,78665705,,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Unlimited,Ancient Chant,https://yugipedia.com/wiki/Ancient_Chant,,2023-06-19 15:01:46,,,,,Old
"Angelic-Demonic Selector - ""Valmonica""",,"('Valmonica',)","('Condition', 'Effect', 'Trigger Effect')",,Not yet released,"Angelic-Demonic Selector - ""Valmonica""",https://yugipedia.com/wiki/Angelic-Demonic_Selector_-_%22Valmonica%22,,2023-08-08 01:21:38,,,,,Old
"Angelic-Demonic Selector - ""Valmonica""",39210885,"('Valmonica',)","('Condition', 'Effect', 'Trigger Effect')",,Unlimited,"Angelic-Demonic Selector - ""Valmonica""",https://yugipedia.com/wiki/Angelic-Demonic_Selector_-_%22Valmonica%22,,2023-08-26 01:24:04,,,,,New
Angelo Valmonica,,"('Valmonica',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",,Not yet released,Angelo Valmonica,https://yugipedia.com/wiki/Angelo_Valmonica,,2023-08-08 01:08:34,,Effect Monster,2100,1200,Old
Angelo Valmonica,03048768,"('Valmonica',)","('Condition', 'Continuous-like Effect', 'Ignition Effect', 'Trigger Effect')",,Unlimited,Angelo Valmonica,https://yugipedia.com/wiki/Angelo_Valmonica,,2023-08-26 01:18:46,,Effect Monster,2100,1200,New
Anti-Magic Arrows,97120394,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Anti-Magic Arrows,https://yugipedia.com/wiki/Anti-Magic_Arrows,,2023-08-15 01:48:12,,,,,Old
Anti-Magic Arrows,97120394,,"('Activation condition', 'Condition', 'Effect')",Unlimited,Unlimited,Anti-Magic Arrows,https://yugipedia.com/wiki/Anti-Magic_Arrows,,2023-08-24 18:42:32,"('Any',)",,,,New
