Name,Password,Effect type,TCG status,OCG status,Modification date,Errata,Version
Absolute Powerforce,,"('Effect',)",,Not yet released,2023-05-28 12:27:15,,New
Amazoness Fighting Spirit,36100154,"('Continuous-like Effect',)",Unlimited,Unlimited,2023-04-10 17:19:10,,Old
Amazoness Fighting Spirit,36100154,"('Continuous-like Effect',)",Unlimited,Unlimited,2023-04-10 17:19:10,"('Any',)",New
Amazoness Willpower,22082163,"('Continuous-like Effect', 'Effect')",Unlimited,Unlimited,2023-04-10 17:19:08,,Old
Amazoness Willpower,22082163,"('Continuous-like Effect', 'Effect')",Unlimited,Unlimited,2023-04-10 17:19:08,"('Any',)",New
Appointer of the Red Lotus,43262273,"('Cost', 'Effect')",Semi-Limited,Unlimited,2023-03-15 01:26:19,"('Any',)",Old
Appointer of the Red Lotus,43262273,"('Cost', 'Effect')",Limited,Unlimited,2023-03-15 01:26:19,"('Any',)",New
Archfiend General,48675364,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,2023-04-08 22:42:14,,Old
Archfiend General,48675364,"('Continuous Effect', 'Ignition Effect')",Unlimited,Unlimited,2023-04-08 22:42:14,"('Any',)",New
Archfiend Soldier,49881766,,Unlimited,Unlimited,2023-04-09 07:58:51,"('Any',)",Old
Archfiend Soldier,49881766,,Unlimited,Unlimited,2023-05-19 20:59:21,"('Type',)",New
Arsenal Summoner,85489096,"('Flip effect',)",Unlimited,Unlimited,2023-03-18 02:50:53,"('Any',)",Old
Arsenal Summoner,85489096,"('Flip effect',)",Unlimited,Unlimited,2023-05-19 22:08:00,"('Type',)",New
Baelgrill de Nouvelles,88890658,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",,Unlimited,2023-05-03 10:58:28,,Old
Baelgrill de Nouvelles,88890658,"('Condition', 'Quick Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Unlimited,2023-06-01 12:11:08,,New
