Name,TCG status,Modification date,Version
Kashtira Arise-Heart,,2023-01-18 18:24:58,Old
Kashtira Arise-Heart,Not yet released,2023-01-24 16:16:30,New
Kashtira Big Bang,,2023-01-11 16:46:31,Old
Kashtira Big Bang,Not yet released,2023-01-24 16:21:40,New
Kashtira Overlap,,2023-01-11 16:46:55,Old
Kashtira Overlap,Not yet released,2023-01-24 16:18:19,New
Kashtira Papiyas,,2023-01-11 16:46:54,Old
Kashtira Riseheart,,2023-01-11 17:51:46,Old
Kashtira Riseheart,Not yet released,2023-01-24 16:09:08,New
Kashtiratheosis,Not yet released,2023-01-24 16:27:48,New
Pressured Planet Wraitsoth,Not yet released,2023-01-24 16:31:53,New
Prime Planet Paraisos,,2023-01-11 16:46:51,Old
Scareclaw Kashtira,,2023-01-11 17:51:44,Old
Scareclaw Kashtira,Not yet released,2023-01-24 16:12:20,New
Tearlaments Kashtira,,2023-01-11 17:51:44,Old
Tearlaments Kashtira,Not yet released,2023-01-24 16:13:37,New
