Name,Modification date,Character,Version
Cocoon of Ultra Evolution,2023-05-10 10:32:14,Weevil Underwood,Old
Cocoon of Ultra Evolution,2023-05-10 10:32:14,,Old
Cocoon of Ultra Evolution,2023-05-10 10:31:28,Weevil Underwood,New
Cocoon of Ultra Evolution,2023-05-10 10:31:28,,New
I'm Just Gonna Attack!,2023-05-10 10:34:35,Joey Wheeler,Old
I'm Just Gonna Attack!,2023-05-10 10:34:35,,Old
I'm Just Gonna Attack!,2023-05-10 10:33:36,,New
I'm Just Gonna Attack!,2023-05-10 10:33:36,Joey Wheeler,New
Twisted Personality,2023-05-10 10:35:02,,Old
Twisted Personality,2023-05-10 10:35:02,Yami Marik,Old
Twisted Personality,2023-05-10 10:35:44,,New
Twisted Personality,2023-05-10 10:35:44,Yami Marik,New
