Name,Password,Card type,Property,Archseries,Attribute,Primary type,Secondary type,Monster type,Effect type,DEF,ATK,Level/Rank,TCG status,OCG status,TCG Speed Duel status,Page name,Page URL,Artwork,Modification date,Character
7 Completed,86198326,Spell Card,Equip Spell Card,,,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,7 Completed,https://yugipedia.com/wiki/7_Completed,,2023-05-15 19:27:15,
A Cat of Ill Omen,24140059,Monster Card,,,DARK,Effect Monster,"('Flip monster',)",Beast,"('Flip effect',)",300,500,2,Unlimited,Unlimited,Unlimited,A Cat of Ill Omen,https://yugipedia.com/wiki/A_Cat_of_Ill_Omen,,2023-06-19 20:29:39,
A Hero Emerges,21597117,Trap Card,Normal Trap Card,,,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,A Hero Emerges,https://yugipedia.com/wiki/A_Hero_Emerges,,2023-05-18 19:50:56,
A Hero Lives,08949584,Spell Card,Normal Spell Card,,,,,,"('Activation condition', 'Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,A Hero Lives,https://yugipedia.com/wiki/A_Hero_Lives,,2023-03-17 23:26:31,
A Legendary Ocean,00295517,Spell Card,Field Spell Card,"('Umi (series)',)",,,,,"('Condition', 'Continuous-like Effect')",,,,Unlimited,Unlimited,Unlimited,A Legendary Ocean,https://yugipedia.com/wiki/A_Legendary_Ocean,,2023-06-24 02:27:30,
A Major Upset,32207100,Trap Card,Normal Trap Card,,,,,,"('Cost', 'Effect')",,,,Unlimited,Unlimited,Unlimited,A Major Upset,https://yugipedia.com/wiki/A_Major_Upset,,2023-05-07 19:34:57,
Absorbing Jar,03900605,Monster Card,,"('Jar',)",EARTH,Effect Monster,"('Flip monster',)",Rock,"('Flip effect',)",500,600,3,Unlimited,Unlimited,Unlimited,Absorbing Jar,https://yugipedia.com/wiki/Absorbing_Jar,,2023-04-10 17:45:22,
Acid Trap Hole,41356845,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",,,,,"('Effect',)",,,,Unlimited,Unlimited,Unlimited,Acid Trap Hole,https://yugipedia.com/wiki/Acid_Trap_Hole,"('Alternate',)",2023-03-17 23:48:41,
Adhesion Trap Hole,62325062,Trap Card,Normal Trap Card,"('Trap Hole (archetype)',)",,,,,"('Activation condition', 'Effect')",,,,Unlimited,Unlimited,Unlimited,Adhesion Trap Hole,https://yugipedia.com/wiki/Adhesion_Trap_Hole,,2023-03-17 23:53:23,
Advanced Dark,12644061,Spell Card,Field Spell Card,,,,,,"('Continuous-like Effect', 'Trigger Effect')",,,,Unlimited,Unlimited,Unlimited,Advanced Dark,https://yugipedia.com/wiki/Advanced_Dark,,2023-03-17 23:56:52,
