Card number,Name,Rarity,Print,Modification date,Release,Series,Set type,Cover card,Version
23YJ-JPN01,Sinful Spoils of Subversion - Snake-Eye,"('Ultra Parallel Rare',)",,2023-08-21 08:15:39,2023-11-04,,Promotional card,,New
23YJ-JPN02,Archfiend's Ghastly Glitch,"('Ultra Parallel Rare',)",,2023-08-21 08:18:54,2023-11-04,,Promotional card,,New
301-056,Red-Eyes B. Dragon,"('Ultimate Rare',)",Reprint,2023-07-03 13:04:41,2002-05-16,Core Booster,Booster pack,"('Helpoemer',)",Old
301-056,Red-Eyes Black Dragon,"('Ultimate Rare',)",Reprint,2023-08-27 05:57:26,2002-05-16,Core Booster,Booster pack,"('Helpoemer',)",New
BACH-KR001,Magikuriboh,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR002,Dimension Conjurer,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR003,Timaeus the United Dragon,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR004,Blue-Eyes Jet Dragon,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR005,Dictator of D.,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR006,Icejade Kosmochlor,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR007,Icejade Aegirine,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR008,Icejade Creation Kingfisher,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR009,Dinomorphia Therizia,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR010,Dinomorphia Diplos,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR011,Nordic Beast Gullinbursti,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR012,Nordic Smith Ivaldi,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR013,D/D Gryphon,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR014,Ghostrick Siren,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR015,Vampire Ghost,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR016,S-Force Lapcewell,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR017,S-Force Retroactive,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR018,"Neiroy, the Dream Mirror Traitor","('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR019,Myutant Mutant,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR020,Epsilon The Magnet Warrior,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR021,The Agent of Destruction - Venus,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR022,Kaiza the Hidden Star,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR023,"Simorgh, Bird of Perfection","('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR024,Skilled Brown Magician,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR025,Chaos Nephthys,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR026,"Epigonen, the Impersonation Invader","('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR027,Submareed Tour Ride,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR028,"Alice, Lady of Lament","('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR029,Leafplace Plaice,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR030,Mad Hacker,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR031,Silvervine Senri,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR032,Shining Piecephilia,"('Normal Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR033,Darton the Mechanical Monstrosity,"('Normal Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR034,Illusion of Chaos,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR035,White Relic of Dogmatika,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR036,Master of Chaos,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR037,Blue-Eyes Tyrant Dragon,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR038,Dinomorphia Kentregina,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR039,Dinomorphia Stealthbergia,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR040,Guardian Chimera,"('Ultra Rare', 'Ultimate Rare', 'Secret Rare', 'Prismatic Secret Rare', 'Holographic Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR041,Swordsoul Sinister Sovereign - Qixing Longyuan,"('Super Rare', 'Secret Rare', 'Prismatic Secret Rare')",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR042,Maple Maiden,"('Common',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
BACH-KR043,Dark Dimension Soldier,"('Rare',)",,2023-08-23 08:14:20,2022-01-19,Core Booster,Booster pack,"('Master of Chaos',)",New
