Card number,Name,Rarity,Print,Modification date,Version
CL03-SC177,,,,2022-11-07 13:43:33,Old
CL03-SC177,Aleister the Invoker,"('Prismatic Secret Rare',)",New,2022-11-07 13:43:33,New
CL03-SC188,,,,2022-11-07 13:43:33,Old
CL03-SC188,Invocation,"('Super Rare',)",New,2022-11-07 13:43:33,New
DBWS-JP001,Xeno Meteoros,,New,2023-02-06 03:07:34,New
DBWS-JP002,Transcendrake Meteoros,"('Ultra Rare',)",New,2023-02-06 03:07:34,New
DBWS-JP003,Transcendrake Gigantozowler,,New,2023-02-06 03:07:34,New
DBWS-JP004,Transcendrake Glacesaurus,,New,2023-02-06 03:07:34,New
DBWS-JP005,Transcendrake Drillgnathus,,New,2023-02-06 03:07:34,New
DBWS-JP006,Ground Xeno,,New,2023-02-06 03:07:34,New
DBWS-JP007,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP008,Frostosaurus,,Reprint,2023-02-06 03:07:34,New
DBWS-JP009,,,Reprint,2023-02-06 03:07:34,New
DBWS-JP010,,,Reprint,2023-02-06 03:07:34,New
DBWS-JP011,Miscellaneousaurus,,Reprint,2023-02-06 03:07:34,New
DBWS-JP012,Souleating Oviraptor,,Reprint,2023-02-06 03:07:34,New
DBWS-JP013,Babycerasaurus,,Reprint,2023-02-06 03:07:34,New
DBWS-JP014,Petiteranodon,,Reprint,2023-02-06 03:07:34,New
DBWS-JP015,Evolzar Solda,,Reprint,2023-02-06 03:07:34,New
DBWS-JP016,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP017,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP018,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP019,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP020,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP021,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP022,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP023,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP024,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP025,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP026,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP027,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP028,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP029,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP030,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP031,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP032,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP033,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP034,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP035,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP036,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP037,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP038,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP039,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP040,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP041,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP042,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP043,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP044,,,Unknown,2023-02-06 03:07:34,New
DBWS-JP045,,,Unknown,2023-02-06 03:07:34,New
