Name,Modification date,Errata,Version
Breaking News!,2023-01-16 00:49:16,"('Text',)",Old
Breaking News!,2023-01-16 00:49:16,"('Any',)",New
Chemical Cure Blue,2022-10-20 07:04:54,"('Text',)",Old
Chemical Cure Blue,2022-10-20 07:04:54,"('Any',)",New
Chemical Cure Red,2023-01-05 22:50:32,"('Text',)",Old
Chemical Cure Red,2023-01-05 22:50:32,"('Any',)",New
Climax Clash,2022-12-21 09:24:58,"('Text',)",Old
Climax Clash,2022-12-21 09:24:58,"('Any',)",New
Counter Cannonball,2022-09-21 03:18:16,"('Text',)",Old
Counter Cannonball,2022-09-21 03:18:16,"('Any',)",New
Dian Keto the Security Master,2022-10-20 07:02:43,"('Text',)",Old
Dian Keto the Security Master,2022-10-20 07:02:43,"('Any',)",New
Dragonic Pressure,2022-12-21 09:40:01,"('Text',)",Old
Dragonic Pressure,2022-12-21 09:40:01,"('Any',)",New
Emergency Return,2022-10-30 07:51:21,"('Text',)",Old
Emergency Return,2022-10-30 07:51:21,"('Any',)",New
Fiery Blaze,2022-12-21 09:46:54,"('Text',)",Old
Fiery Blaze,2022-12-21 09:46:54,"('Any',)",New
Gatling the Shadow Flower Shinobi,2022-12-26 06:08:21,"('Text',)",Old
Gatling the Shadow Flower Shinobi,2022-12-26 06:08:21,"('Any',)",New
Gravity Press Dragon,2022-12-21 09:36:47,"('Text',)",Old
Gravity Press Dragon,2022-12-21 09:36:47,"('Any',)",New
Heavenly Gift,2022-12-21 09:54:04,"('Text',)",Old
Heavenly Gift,2022-12-21 09:54:04,"('Any',)",New
Moisturize,2022-10-20 07:00:42,"('Text',)",Old
Moisturize,2022-10-20 07:00:42,"('Any',)",New
Rage of the Wild Beasts,2023-02-18 02:20:13,"('Text',)",Old
Rage of the Wild Beasts,2023-02-18 02:20:13,"('Any',)",New
Reporting from the Scene!,2022-12-21 09:24:51,"('Text',)",Old
Reporting from the Scene!,2022-12-21 09:24:51,"('Any',)",New
Shaman Octopus,2022-09-21 04:01:20,"('Text',)",Old
Shaman Octopus,2022-09-21 04:01:20,"('Any',)",New
Shield Boring Kong,2022-12-21 09:21:41,"('Text',)",Old
Shield Boring Kong,2022-12-21 09:21:41,"('Any',)",New
Siesta Torero,2023-01-10 18:57:18,"('Text',)",Old
Siesta Torero,2023-01-10 18:57:18,"('Any',)",New
Spice the Elite Noodle Ninja,2022-12-21 09:44:39,"('Text',)",Old
Spice the Elite Noodle Ninja,2022-12-21 09:44:39,"('Any',)",New
Vengeful Dragon's Counterattack,2022-12-21 09:40:43,"('Text',)",Old
Vengeful Dragon's Counterattack,2022-12-21 09:40:43,"('Any',)",New
