Name,Archseries,Artwork,Modification date,Errata,Version
Burst Stream of Destruction,"('Signature move',)",,2023-08-14 03:57:36,"('Any',)",Old
Buster Blader,,"('Edited',)",2023-08-17 18:17:22,"('Type',)",Old
Captain #39: Home Plate Pinch Hitter,"('Baseball',)",,2023-03-18 07:24:15,,Old
Carpendra,,,2023-03-18 07:28:47,,Old
Cat's Eye,,,2023-03-18 07:32:03,,Old
Chashooting Star,,,2023-03-18 07:58:06,,Old
Chemical Cure Blue,,,2023-07-21 06:42:47,,Old
Chemicalize Salamander,"('Chemistry',)","('Alternate',)",2023-03-18 07:59:37,,Old
Chemicalizer Red,"('Chemistry',)",,2023-08-16 00:02:25,,Old
Chromatographicus,"('Chemistry',)",,2023-05-25 11:29:14,,Old
Cintamani of Saturnius,,,2023-03-18 08:16:20,,Old
Class-Change Mirror,,,2023-06-27 11:40:51,,Old
Clean Beret - Colonel Mop,,,2023-06-27 20:01:21,,Old
Climax Clash,,,2023-03-18 08:23:31,"('Any',)",Old
Clowning Cookoo Clock,,,2023-06-22 00:54:14,,Old
Cobalt Kobold,,,2023-03-18 08:31:48,,Old
Coiled Dragon of Fertility,,,2023-03-18 08:37:46,,Old
Collapsing Chairs,"('Chair',)",,2023-08-27 20:21:50,,Old
Combustion Oni Bunsel,"('Chemistry',)",,2023-03-18 08:40:26,,Old
Connector Dog,,,2023-07-21 06:34:38,,Old
Constructor Art - Buildestruction,"('Constructor',)",,2023-03-18 08:53:31,,Old
Constructor Battler Big Roller,"('Constructor',)",,2023-03-18 08:53:42,,Old
Constructor Blockade,"('Constructor',)",,2023-03-18 08:53:54,,Old
Constructor Engineer Draftannium,"('Constructor',)",,2023-05-16 08:45:59,,Old
Constructor Fighter Mixer,"('Constructor',)",,2023-03-18 08:54:23,,Old
Constructor Resurrection,"('Constructor',)",,2023-03-18 08:54:35,,Old
Constructor Ridge Wyrm Handtoolon,"('Constructor',)",,2023-07-21 04:25:14,,Old
Constructor Soldier Drillzard,"('Constructor',)",,2023-03-18 08:55:04,,Old
Constructor Sword Foreman,"('Constructor',)",,2023-03-18 08:55:13,,Old
Constructor Warrior Shovelon,"('Constructor',)",,2023-07-21 06:42:29,,Old
Constructor Wyrm Buildragon,"('Constructor',)","('Alternate',)",2023-06-24 12:50:18,,Old
Corktrooper,,,2023-03-18 09:00:27,,Old
Corruption of the Blaze Fiends,"('Blaze Fiend',)",,2023-03-18 09:01:59,,Old
Cosmo Aurorizer,,,2023-03-18 09:05:04,,Old
Cosmo Predictor,,,2023-08-18 08:30:20,,Old
Cosmo Titan,,,2023-03-18 09:05:58,,Old
Cosmoscallion,,,2023-03-18 09:06:23,,Old
Counter Back,,,2023-03-18 09:06:48,,Old
Counter Cannonball,,,2023-03-18 09:06:58,"('Any',)",Old
Counter Pigeons,,,2023-08-25 18:36:04,,Old
Counter Shield,,,2023-08-25 18:39:02,,Old
Covering Barrage,,,2023-08-25 19:16:49,,Old
Crack Fall,,,2023-03-18 09:10:30,,Old
Cracking Claw,"('High Tech Dragon',)",,2023-08-16 00:16:37,,Old
Crafter Drone,,,2023-08-09 09:28:16,,Old
Craftroll,,,2023-03-18 09:11:36,,Old
Crawling Dragon,,,2023-03-18 09:13:51,"('Type',)",Old
Cremation Dog Nitro,"('Chemistry',)",,2023-03-18 09:18:34,,Old
Crisis at the Sacred Tower,,,2023-03-18 09:21:00,,Old
Cross Promotion the Elite Noodle Ninja,"('Noodle Ninja',)",,2023-03-18 09:22:12,,Old
Crusher Drone,,,2023-03-18 09:30:17,,Old
Crying Moon Rabbit,,,2023-03-18 09:31:01,,Old
Crystal Brain,,,2023-03-18 09:36:10,,Old
Cure Shot,,,2023-03-18 09:50:43,,Old
Cursed Skeletal Dragon Diarga,,,2023-03-18 09:58:18,,Old
Curtain of Sparks,,,2023-03-18 09:58:32,,Old
Cyber Assault Dragon,"('Cyber Dragon (Rush Duel series)',)",,2023-08-26 18:58:38,,Old
Cyber Coatl,,,2023-05-25 11:27:15,,Old
Cyber Dragon,"('Cyber Dragon (Rush Duel series)',)",,2023-07-21 05:23:56,"('Type',)",Old
Cyber End Dragon,"('Cyber Dragon (Rush Duel series)',)",,2023-07-21 04:29:55,"('Name', 'Type')",Old
Cyber Entry,,,2023-06-27 19:59:36,,Old
Cyber Falcon,,,2023-03-18 10:09:59,"('Any',)",Old
Cyber Rush Dragon,"('Cyber Dragon (Rush Duel series)',)",,2023-07-21 04:30:19,,Old
Cyber Stealth Dragon,"('Cyber Dragon (Rush Duel series)',)",,2023-08-26 18:57:27,,Old
Cyber-Stein Frankenshrine,,,2023-03-18 10:19:11,,Old
Cyber-Tech Alligator,,,2023-03-18 10:19:34,,Old
Cycliptron,"('Tron (series)',)",,2023-03-18 10:31:46,,Old
"Dahut Abyss, Dark Mirror Ruler of the Chair","('Chair',)",,2023-03-18 11:14:01,,Old
"Dahut, Dark Ruler of the Chair","('Chair',)",,2023-03-18 11:14:12,,Old
Dark Femtron,"('Tron (series)',)",,2023-03-18 11:45:59,,Old
Dark Hole,,,2023-03-18 11:52:30,"('Type',)",Old
Dark Magic Attack,"('Signature move',)",,2023-06-27 19:58:40,"('Any',)",Old
