Card number,Set,Name,Rarity,Print,Quantity,Page URL,Modification date,Release,Series,Set type,Cover card,Version
23YJ-JPT01,Transcendrake Duel Set,Miscellaneousaurus,"('Ultra Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Transcendrake_Duel_Set_(OCG-JP),2023-03-24 19:23:21,2023-05-28,,Promotional card,,Old
23YJ-JPT01,Transcendosaurus Duel Set,Miscellaneousaurus,"('Ultra Parallel Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Transcendosaurus_Duel_Set_(OCG-JP),2023-05-26 21:55:48,2023-05-28,,Promotional card,,New
AC03-JP013,Animation Chronicle 2023,,,Unknown,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-05-11 03:35:17,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",Old
AC03-JP013,Animation Chronicle 2023,Number 1: Infection Buzz King,"('Super Rare', 'Secret Rare', ""Collector's Rare"")",New,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",New
AC03-JP014,Animation Chronicle 2023,,,Unknown,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-05-11 03:35:17,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",Old
AC03-JP014,Animation Chronicle 2023,Photon Delta Wing,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",New
AC03-JP016,Animation Chronicle 2023,,,Unknown,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-05-11 03:35:17,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",Old
AC03-JP016,Animation Chronicle 2023,Ring Announcer,,New,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-06-04 12:01:03,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",New
AC03-JP060,Animation Chronicle 2023,,,Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Animation_Chronicle_2023_(OCG-JP),2023-05-11 03:35:17,2023-06-10,Animation Chronicle,Booster pack,"('Earthbound Servant Geo Grasha', 'Junk Warrior')",Old
AE18-KRS01,Advanced Event Pack 2023 Vol.1 Version 2,Neo-Spacian Grand Mole,"('Secret Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS02,Advanced Event Pack 2023 Vol.1 Version 2,Heroic Champion - Excalibur,"('Secret Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS03,Advanced Event Pack 2023 Vol.1 Version 2,Cyberse Witch,"('Secret Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS04,Advanced Event Pack 2023 Vol.1 Version 2,DoSolfachord Cutia,"('Secret Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS05,Advanced Event Pack 2023 Vol.1 Version 2,Rescue Cat,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS06,Advanced Event Pack 2023 Vol.1 Version 2,Parallel eXceed,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS07,Advanced Event Pack 2023 Vol.1 Version 2,Witchcrafter Madame Verre,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS08,Advanced Event Pack 2023 Vol.1 Version 2,Naturia Beast,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS09,Advanced Event Pack 2023 Vol.1 Version 2,Missus Radiant,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS10,Advanced Event Pack 2023 Vol.1 Version 2,Chaos Goddess,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS11,Advanced Event Pack 2023 Vol.1 Version 2,Ninjitsu Art of Duplication,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS12,Advanced Event Pack 2023 Vol.1 Version 2,Amazoness Onslaught,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS13,Advanced Event Pack 2023 Vol.1 Version 2,Ninja Grandmaster Hanzo,"('Super Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
AE18-KRS14,Advanced Event Pack 2023 Vol.1 Version 2,Gem-Knight Obsidian,"('Common',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Advanced_Event_Pack_2023_Vol.1_Version_2_(OCG-KR),2023-05-29 07:29:57,2023-05-26,,Booster pack,,New
