Name,TCG status,Modification date,Version
Abyss Actor - Liberty Dramatist,,2023-01-11 17:51:31,Old
Abyss Actor - Liberty Dramatist,Not yet released,2023-01-28 17:40:52,New
Abyss Actor - Super Producer,,2023-01-11 17:13:34,Old
Abyss Actor - Super Producer,Not yet released,2023-01-28 17:30:09,New
Abyss Script - Dramatic Story,,2023-01-11 16:46:44,Old
Abyss Script - Dramatic Story,Not yet released,2023-01-27 16:47:23,New
Apophis the Swamp Deity,,2022-07-24 09:56:01,Old
Apophis the Swamp Deity,Not yet released,2023-01-28 11:04:04,New
"Basiltrice, Familiar of the Evil Eye",,2023-01-11 17:51:26,Old
"Basiltrice, Familiar of the Evil Eye",Not yet released,2023-01-27 16:59:31,New
Beetle Amalgamaton Zekstagger,,2022-11-06 16:23:11,Old
Bystial Baldrake,,2023-01-26 15:32:41,Old
Bystial Baldrake,Not yet released,2023-01-27 16:55:11,New
Cassimolar,,2022-11-09 10:05:22,Old
Cassimolar,Not yet released,2023-01-27 16:48:16,New
Chaos Archfiend,,2023-01-11 17:13:48,Old
Chaos Archfiend,Not yet released,2023-01-28 17:35:58,New
Chaos Beast,,2023-01-11 17:13:47,Old
Chaos Beast,Not yet released,2023-01-27 16:52:44,New
Chaos Mirage Dragon,,2023-01-11 17:51:33,Old
Chaos Mirage Dragon,Not yet released,2023-01-28 17:43:32,New
Chaos Phantasm,,2023-01-11 16:46:25,Old
Chaos Phantasm,Not yet released,2023-01-28 13:01:41,New
Chaos Witch,,2023-01-11 17:51:41,Old
Chaos Witch,Not yet released,2023-01-28 17:48:16,New
Choju of the Trillion Hands,,2023-01-11 17:51:18,Old
Choju of the Trillion Hands,Not yet released,2023-01-28 17:36:59,New
Circle of Faerie,,2023-01-11 17:13:42,Old
Circle of the Fairies,Not yet released,2023-01-28 19:02:25,New
Core of Chaos,,2023-01-11 17:51:39,Old
Core of Chaos,Not yet released,2023-01-27 16:43:22,New
Couple of Aces,,2023-01-11 17:51:14,Old
Couple of Aces,Not yet released,2023-01-27 17:02:51,New
Diabolantis the Menacing Mantis,Not yet released,2023-01-27 16:10:58,New
Dimensional Allotrope Varis,Not yet released,2023-01-28 18:58:51,New
Dimensional Isoallotope Varis,,2023-01-11 17:51:13,Old
Dyna Mond,,2023-01-11 17:13:33,Old
Dyna Mondo,Not yet released,2023-01-28 19:09:14,New
Fairyant the Circular Sorcerer,Not yet released,2023-01-28 18:39:30,New
Fierce Tiger Menghu,,2023-01-11 17:51:18,Old
Fierce Tiger Monghu,Not yet released,2023-01-28 20:22:03,New
Galactikuriboh,Not yet released,2023-01-28 17:51:31,New
Galaktikuriboh,,2023-01-24 00:33:43,Old
Galaxy Hundred,,2023-01-11 16:47:07,Old
Galaxy Hundred,Not yet released,2023-01-28 13:12:22,New
Galaxy Photon Dragon,,2023-01-18 18:24:38,Old
Galaxy Photon Dragon,Not yet released,2023-01-28 17:29:10,New
Galaxy Summoner,,2023-01-11 17:51:54,Old
Galaxy Summoner,Not yet released,2023-01-28 17:53:15,New
Green Ninja,,2023-01-10 18:40:55,Old
Green Ninja,Not yet released,2023-01-28 11:01:58,New
Hexenringe Master Faeri,,2023-01-11 17:51:17,Old
Humongous Hive Hegemon - Zexstagger,Not yet released,2023-01-28 13:09:10,New
Intimidating Ore - Summonite,Not yet released,2023-01-28 18:22:43,New
Land Flipping,Not yet released,2023-01-28 18:27:15,New
Light of the Branded,,2023-01-11 16:46:57,Old
Light of the Branded,Not yet released,2023-01-28 13:05:15,New
Made to Order Mermaid Outfit Outfitter,Not yet released,2023-01-27 16:31:21,New
Manticore of Smashing,,2023-01-11 17:51:19,Old
Manticore of Smashing,Not yet released,2023-01-28 17:37:42,New
Minairuka,Not yet released,2023-01-27 14:31:53,New
Number C62: Neo Galaxy-Eyes Prime Photon Dragon,,2023-01-11 17:13:48,Old
Number C62: Neo Galaxy-Eyes Prime Photon Dragon,Not yet released,2023-01-28 17:32:10,New
Numeron Creation,,2023-01-11 16:47:05,Old
Numeron Creation,Not yet released,2023-01-28 13:07:36,New
Orphebull the Harmonious Bullfighter Bard,Not yet released,2023-01-27 16:23:02,New
Pharaonic Advent,,2022-05-27 08:56:55,Old
Pharaonic Advent,Not yet released,2023-01-28 11:04:17,New
Photon Emperor,,2023-01-11 17:51:55,Old
Photon Emperor,Not yet released,2023-01-28 17:58:35,New
Qardan the Clear-Sighted,Not yet released,2023-01-28 20:19:08,New
Qardan the Great Sage,,2022-05-21 15:27:05,Old
Queen Butterfly Danaus,,2022-09-23 13:01:22,Old
Queen Butterfly Danaus,Not yet released,2023-01-28 12:58:23,New
Repeated Land Transaction,,2023-01-11 16:46:34,Old
Sari of the Silverwing Axe,Not yet released,2023-01-28 18:43:05,New
Shell of Chaos,,2023-01-11 17:51:40,Old
Shell of Chaos,Not yet released,2023-01-28 17:44:55,New
Silver-Winged AXE-Sarry,,2023-01-11 17:51:14,Old
Threatening Ore - Summonite,,2023-01-11 16:46:20,Old
Xyz Align,Not yet released,2023-01-27 16:05:28,New
