Card number,Set,Name,Rarity,Print,Quantity,Page URL,Modification date,Release,Series,Set type,Cover card,Version
15AX-JP000,Duelist Road -Piece of Memory- Side: Yami Yugi,Blue-Eyes Ultimate Dragon,"('Holographic Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yami_Yugi_(OCG-JP),2023-04-23 22:20:11,2015-01-10,,Booster pack,,Old
15AX-JP000,Duelist Road -Piece of Memory- Side: Yugi Muto,Blue-Eyes Ultimate Dragon,"('Holographic Rare',)",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JP000,Duelist Road -Piece of Memory- Side: Yami Yugi,Blue-Eyes Ultimate Dragon,"('Holographic Rare',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yami_Yugi_(OCG-JP),2023-07-04 12:15:20,2015-01-10,,Booster pack,,New
15AX-JP000,Duelist Road -Piece of Memory- Side: Yugi Muto,Blue-Eyes Ultimate Dragon,"('Holographic Rare',)",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM01,Duelist Road -Piece of Memory- Side: Yugi Muto,Dark Magician Girl,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM01,Duelist Road -Piece of Memory- Side: Yugi Muto,Dark Magician Girl,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM02,Duelist Road -Piece of Memory- Side: Yugi Muto,Dark Burning Attack,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM02,Duelist Road -Piece of Memory- Side: Yugi Muto,Dark Burning Attack,"('Secret Rare', 'Millennium Rare')",New,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM03,Duelist Road -Piece of Memory- Side: Yugi Muto,Symbol of Friendship,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM03,Duelist Road -Piece of Memory- Side: Yugi Muto,Symbol of Friendship,"('Secret Rare', 'Millennium Rare')",New,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM04,Duelist Road -Piece of Memory- Side: Yugi Muto,Electromagnetic Turtle,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM04,Duelist Road -Piece of Memory- Side: Yugi Muto,Electromagnetic Turtle,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM05,Duelist Road -Piece of Memory- Side: Yugi Muto,Black Illusion,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM05,Duelist Road -Piece of Memory- Side: Yugi Muto,Black Illusion,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM06,Duelist Road -Piece of Memory- Side: Yugi Muto,Celtic Guardian,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM06,Duelist Road -Piece of Memory- Side: Yugi Muto,Celtic Guardian,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM07,Duelist Road -Piece of Memory- Side: Yugi Muto,Red-Eyes B. Dragon,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM07,Duelist Road -Piece of Memory- Side: Yugi Muto,Red-Eyes B. Dragon,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM08,Duelist Road -Piece of Memory- Side: Yugi Muto,Tiger Axe,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM08,Duelist Road -Piece of Memory- Side: Yugi Muto,Tiger Axe,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM09,Duelist Road -Piece of Memory- Side: Yugi Muto,Zoa,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM09,Duelist Road -Piece of Memory- Side: Yugi Muto,Zoa,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM10,Duelist Road -Piece of Memory- Side: Yugi Muto,Seiyaryu,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM10,Duelist Road -Piece of Memory- Side: Yugi Muto,Seiyaryu,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM11,Duelist Road -Piece of Memory- Side: Yugi Muto,Pendulum Machine,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM11,Duelist Road -Piece of Memory- Side: Yugi Muto,Pendulum Machine,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM12,Duelist Road -Piece of Memory- Side: Yugi Muto,Launcher Spider,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM12,Duelist Road -Piece of Memory- Side: Yugi Muto,Launcher Spider,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM13,Duelist Road -Piece of Memory- Side: Yugi Muto,Millennium Shield,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM13,Duelist Road -Piece of Memory- Side: Yugi Muto,Millennium Shield,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM14,Duelist Road -Piece of Memory- Side: Yugi Muto,Kanan the Swordmistress,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM14,Duelist Road -Piece of Memory- Side: Yugi Muto,Kanan the Swordmistress,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM15,Duelist Road -Piece of Memory- Side: Yugi Muto,Magician's Valkyria,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM15,Duelist Road -Piece of Memory- Side: Yugi Muto,Magician's Valkyria,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM16,Duelist Road -Piece of Memory- Side: Yugi Muto,Red-Eyes Black Metal Dragon,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM16,Duelist Road -Piece of Memory- Side: Yugi Muto,Red-Eyes Black Metal Dragon,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM17,Duelist Road -Piece of Memory- Side: Yugi Muto,Gilford the Lightning,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM17,Duelist Road -Piece of Memory- Side: Yugi Muto,Gilford the Lightning,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM18,Duelist Road -Piece of Memory- Side: Yugi Muto,Panther Warrior,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM18,Duelist Road -Piece of Memory- Side: Yugi Muto,Panther Warrior,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM19,Duelist Road -Piece of Memory- Side: Yugi Muto,Harpie's Pet Dragon,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM19,Duelist Road -Piece of Memory- Side: Yugi Muto,Harpie's Pet Dragon,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM20,Duelist Road -Piece of Memory- Side: Yugi Muto,Cyber Harpie Lady,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM20,Duelist Road -Piece of Memory- Side: Yugi Muto,Cyber Harpie Lady,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM21,Duelist Road -Piece of Memory- Side: Yugi Muto,Amazoness Chain Master,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM21,Duelist Road -Piece of Memory- Side: Yugi Muto,Amazoness Chain Master,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM22,Duelist Road -Piece of Memory- Side: Yugi Muto,Metalzoa,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM22,Duelist Road -Piece of Memory- Side: Yugi Muto,Metalzoa,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM23,Duelist Road -Piece of Memory- Side: Yugi Muto,Masked Beast Des Gardius,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM23,Duelist Road -Piece of Memory- Side: Yugi Muto,Masked Beast Des Gardius,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM24,Duelist Road -Piece of Memory- Side: Yugi Muto,Hannibal Necromancer,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM24,Duelist Road -Piece of Memory- Side: Yugi Muto,Hannibal Necromancer,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM25,Duelist Road -Piece of Memory- Side: Yugi Muto,Fairy King Truesdale,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM25,Duelist Road -Piece of Memory- Side: Yugi Muto,Fairy King Truesdale,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM26,Duelist Road -Piece of Memory- Side: Yugi Muto,Teva,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM26,Duelist Road -Piece of Memory- Side: Yugi Muto,Teva,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM27,Duelist Road -Piece of Memory- Side: Yugi Muto,Exarion Universe,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM27,Duelist Road -Piece of Memory- Side: Yugi Muto,Exarion Universe,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM28,Duelist Road -Piece of Memory- Side: Yugi Muto,D.D. Assailant,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM28,Duelist Road -Piece of Memory- Side: Yugi Muto,D.D. Assailant,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM29,Duelist Road -Piece of Memory- Side: Yugi Muto,Rigorous Reaver,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM29,Duelist Road -Piece of Memory- Side: Yugi Muto,Rigorous Reaver,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM30,Duelist Road -Piece of Memory- Side: Yugi Muto,Goddess of Whim,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM30,Duelist Road -Piece of Memory- Side: Yugi Muto,Goddess of Whim,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM31,Duelist Road -Piece of Memory- Side: Yugi Muto,Sinister Serpent,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM31,Duelist Road -Piece of Memory- Side: Yugi Muto,Sinister Serpent,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM32,Duelist Road -Piece of Memory- Side: Yugi Muto,Zera the Mant,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM32,Duelist Road -Piece of Memory- Side: Yugi Muto,Zera the Mant,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM33,Duelist Road -Piece of Memory- Side: Yugi Muto,Super War-Lion,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM33,Duelist Road -Piece of Memory- Side: Yugi Muto,Super War-Lion,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM34,Duelist Road -Piece of Memory- Side: Yugi Muto,Dragon Master Knight,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM34,Duelist Road -Piece of Memory- Side: Yugi Muto,Dragon Master Knight,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM35,Duelist Road -Piece of Memory- Side: Yugi Muto,Thousand Dragon,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM35,Duelist Road -Piece of Memory- Side: Yugi Muto,Thousand Dragon,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM36,Duelist Road -Piece of Memory- Side: Yugi Muto,Alligator's Sword Dragon,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM36,Duelist Road -Piece of Memory- Side: Yugi Muto,Alligator's Sword Dragon,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM37,Duelist Road -Piece of Memory- Side: Yugi Muto,Flame Swordsman,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM37,Duelist Road -Piece of Memory- Side: Yugi Muto,Flame Swordsman,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM38,Duelist Road -Piece of Memory- Side: Yugi Muto,Monster Reborn,"('Secret Rare', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM38,Duelist Road -Piece of Memory- Side: Yugi Muto,Monster Reborn,"('Secret Rare', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
15AX-JPM39,Duelist Road -Piece of Memory- Side: Yugi Muto,Graceful Dice,"('Common', 'Millennium Rare')",,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-04-23 22:20:14,2015-01-10,,Booster pack,,Old
15AX-JPM39,Duelist Road -Piece of Memory- Side: Yugi Muto,Graceful Dice,"('Common', 'Millennium Rare')",Reprint,,https://yugipedia.com/wiki/Set_Card_Lists:Duelist_Road_-Piece_of_Memory-_Side:_Yugi_Muto_(OCG-JP),2023-07-04 12:19:58,2015-01-10,,Booster pack,,New
