Card number,Set,Name,Rarity,Print,Page URL,Modification date,Release,Series,Set type,Cover card,Version
????-EN???,25th Anniversary Tin: Dueling Heroes,Salamangreat Blaze Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Firewall Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Exodia the Forbidden One,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Red-Eyes Black Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Rainbow Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Cyber Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Elemental HERO Neos,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Stardust Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Dark Magician,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Black Rose Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Number 39: Utopia,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Galaxy-Eyes Photon Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Odd-Eyes Pendulum Dragon,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Enlightenment Paladin,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Blackwing Armor Master,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
????-EN???,25th Anniversary Tin: Dueling Heroes,Decode Talker,"('Quarter Century Secret Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:25th_Anniversary_Tin:_Dueling_Heroes_(TCG-EN),2023-04-20 06:58:25,2023-09-07,,Collectible tin,,Old
BIJ-S001,Starter Deck: Joey,Red-Eyes B. Dragon,"('Ultra Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,,,,,Old
BIJ-S001,Starter Deck: Joey,Red-Eyes B. Dragon,"('Ultra Rare',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",New
BIJ-S002,Starter Deck: Joey,Swordsman of Landstar,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,,,,,Old
BIJ-S002,Starter Deck: Joey,Swordsman of Landstar,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",New
BIJ-S003,Starter Deck: Joey,Baby Dragon,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,,,,,Old
BIJ-S003,Starter Deck: Joey,Baby Dragon,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",New
BIJ-S004,Starter Deck: Joey,Spirit of the Harp,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,,,,,Old
BIJ-S004,Starter Deck: Joey,Spirit of the Harp,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,2004-06-01,,Starter Deck,"('Red-Eyes Black Dragon',)",New
BIJ-S005,Starter Deck: Joey,Island Turtle,"('Common',)",,https://yugipedia.com/wiki/Set_Card_Lists:Starter_Deck:_Joey_(TCG-SP),2023-04-23 19:58:40,,,,,Old
