Name,Password,Effect type,TCG status,Page name,Page URL,Artwork,Modification date,Errata,Primary type,Version
Acid Rain,21323861,"('Effect',)",Unlimited,Acid Rain,https://yugipedia.com/wiki/Acid_Rain,,2023-08-25 14:35:51,,,Old
Acid Rain,21323861,"('Effect',)",Unlimited,Acid Rain,https://yugipedia.com/wiki/Acid_Rain,,2023-08-25 14:35:51,"('Any',)",,New
Ancient Chant,78665705,"('Condition', 'Effect', 'Ignition-like Effect')",Unlimited,Ancient Chant,https://yugipedia.com/wiki/Ancient_Chant,,2023-06-19 15:01:46,,,New
Anotherverse Gluttonia,,,Unlimited,Anotherverse Gluttonia,https://yugipedia.com/wiki/Anotherverse_Gluttonia,,2023-09-02 09:23:23,,Normal Monster,New
Arahime the Manifested Mikanko,75771170,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Arahime the Manifested Mikanko,https://yugipedia.com/wiki/Arahime_the_Manifested_Mikanko,,2023-08-23 09:13:48,,Ritual Monster,Old
Arahime the Manifested Mikanko,75771170,"('Condition', 'Continuous Effect', 'Ignition Effect', 'Trigger Effect')",Unlimited,Arahime the Manifested Mikanko,https://yugipedia.com/wiki/Arahime_the_Manifested_Mikanko,"('Edited',)",2023-08-30 11:12:56,,Ritual Monster,New
Archfiend's Manifestation,32775808,"('Continuous Effect', 'Trigger Effect')",Unlimited,Archfiend's Manifestation,https://yugipedia.com/wiki/Archfiend%27s_Manifestation,,2023-06-19 13:55:44,,Fusion Monster,New
Black Luster Soldier - Legendary Swordsman,70551291,"('Condition', 'Continuous Effect', 'Summoning condition', 'Trigger Effect')",Unlimited,Black Luster Soldier - Legendary Swordsman,https://yugipedia.com/wiki/Black_Luster_Soldier_-_Legendary_Swordsman,,2023-07-24 19:05:32,,Ritual Monster,Old
Blaze Cannon,04059313,"('Condition', 'Continuous Effect', 'Effect', 'Trigger Effect')",Unlimited,Blaze Cannon,https://yugipedia.com/wiki/Blaze_Cannon,,2023-06-19 14:59:55,,,New
Branded Disciple,34536828,"('Condition', 'Continuous-like Effect', 'Trigger Effect')",Unlimited,Branded Disciple,https://yugipedia.com/wiki/Branded_Disciple,,2023-07-27 06:32:24,"('Any',)",,Old
Branded Fusion,44362883,"('Condition', 'Effect')",Unlimited,Branded Fusion,https://yugipedia.com/wiki/Branded_Fusion,,2023-07-29 21:50:39,,,Old
Branded Sword,81767888,"('Condition', 'Effect', 'Quick-like Effect')",Unlimited,Branded Sword,https://yugipedia.com/wiki/Branded_Sword,,2023-08-11 01:50:26,,,Old
Brigrand the Glory Dragon,34848821,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Brigrand the Glory Dragon,https://yugipedia.com/wiki/Brigrand_the_Glory_Dragon,,2023-07-27 06:17:54,,Fusion Monster,Old
Bystial Druiswurm,06637331,"('Condition', 'Ignition Effect', 'Trigger Effect')",Unlimited,Bystial Druiswurm,https://yugipedia.com/wiki/Bystial_Druiswurm,,2023-07-29 06:33:27,,Effect Monster,Old
"Camelot, Realm of Noble Knights and Noble Arms",15635751,"('Condition', 'Continuous-like Effect', 'Ignition-like Effect')",Not yet released,"Camelot, Realm of Noble Knights and Noble Arms","https://yugipedia.com/wiki/Camelot,_Realm_of_Noble_Knights_and_Noble_Arms",,2023-09-01 14:27:06,,,New
"Carpiponica, Mystical Beast of the Forest",85055821,"('Condition', 'Trigger Effect')",Unlimited,"Carpiponica, Mystical Beast of the Forest","https://yugipedia.com/wiki/Carpiponica,_Mystical_Beast_of_the_Forest",,2023-07-26 07:14:57,,Effect Monster,Old
Cartorhyn the Hidden Gem of the Seafront,94076521,"('Condition', 'Ignition Effect')",Unlimited,Cartorhyn the Hidden Gem of the Seafront,https://yugipedia.com/wiki/Cartorhyn_the_Hidden_Gem_of_the_Seafront,,2023-07-27 06:36:04,,Effect Monster,Old
Cerulean Skyfire,54828837,"('Continuous-like Effect', 'Trigger Effect')",Unlimited,Cerulean Skyfire,https://yugipedia.com/wiki/Cerulean_Skyfire,,2023-06-17 18:57:25,,,Old
Chaos Angel,22850702,"('Condition', 'Continuous Effect', 'Trigger Effect')",Unlimited,Chaos Angel,https://yugipedia.com/wiki/Chaos_Angel,,2023-07-29 06:38:44,,Synchro Monster,Old
Chaos Beast,49565413,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Chaos Beast,https://yugipedia.com/wiki/Chaos_Beast,,2023-07-29 06:36:14,,Synchro Monster,Old
Chaos Grepher,18859369,"('Condition', 'Continuous Effect', 'Ignition Effect')",Unlimited,Chaos Grepher,https://yugipedia.com/wiki/Chaos_Grepher,,2023-03-18 07:52:37,,Effect Monster,Old
Chaos Nephthys,24226942,"('Condition', 'Summoning condition', 'Trigger Effect')",Unlimited,Chaos Nephthys,https://yugipedia.com/wiki/Chaos_Nephthys,,2023-07-27 06:31:32,,Effect Monster,Old
"Chaos Ruler, the Chaotic Magical Dragon",03040496,"('Condition', 'Ignition Effect', 'Trigger Effect')",Forbidden,"Chaos Ruler, the Chaotic Magical Dragon","https://yugipedia.com/wiki/Chaos_Ruler,_the_Chaotic_Magical_Dragon",,2023-07-25 08:44:31,,Synchro Monster,Old
Chaos Summoning Beast,27439792,"('Condition', 'Ignition Effect')",Unlimited,Chaos Summoning Beast,https://yugipedia.com/wiki/Chaos_Summoning_Beast,,2023-06-17 18:56:40,,Effect Monster,Old
